"exp","exp href","exp 2","wd51","wd51 2","wd51 3","wd51 4","wd55","wd22 2","wd22 3","wd22 4","wd22 6","wd22 7","inputimg","inputimg 2","sf","sf href","sf 2","inputimg 3","inputimg 4"
"19303","https://etrain.info/train/Indb-Bhopal-Exp-19303/schedule","INDB BHOPAL EXP","INDB","BPL","05:10","--","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"","","","BPL","UJN","--","06:25","--","Y","Y","Y","Y","Y","","","","","","",""
"","","","BPL","KURJ","--","06:30","--","Y","Y","Y","Y","Y","CC","2S","22163","https://etrain.info/train/Mahamana-Express-22163/schedule","MAHAMANA EXPRESS","",""
"","","","SGRL","BPL","07:05","--","--","Y","Y","X","X","X","1A","2A","22166","https://etrain.info/train/Sgrl-Bpl-Sf-Exp-22166/schedule","SGRL BPL SF EXP","3A","SL"
"","","","BPL","BINA","--","07:30","--","Y","Y","Y","Y","Y","","","","","","",""
"","","","REWA","BPL","08:10","--","--","Y","X","X","X","X","1A","2A","22146","https://etrain.info/train/Rewa-Bpl-Sf-Exp-22146/schedule","REWA BPL SF EXP","3A","SL"
"","","","MBDP","BPL","08:30","--","--","Y","Y","X","X","X","2A","3A","12184","https://etrain.info/train/Mbdp-Bpl-Express-12184/schedule","MBDP BPL EXPRESS","SL",""
"","","","LJN","BPL","09:05","--","--","X","X","X","X","X","3A","","","","","",""
"14813","https://etrain.info/train/Ju-Bpl-Express-14813/schedule","JU BPL EXPRESS","JU","BPL","09:20","--","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"13026","https://etrain.info/train/Bpl-Howrah-Exp-13026/schedule","BPL HOWRAH EXP","BPL","HWH","--","09:30","--","X","X","X","X","X","2A","3A","","","","3E","SL"
"18235","https://etrain.info/train/Bilaspur-Ex-Pas-18235/schedule","BILASPUR EX PAS","BPL","BSP","--","10:15","--","Y","Y","Y","Y","Y","SL","","","","","",""
"11271","https://etrain.info/train/Vindhyachal-Exp-11271/schedule","VINDHYACHAL EXP","ET","BPL","10:20","--","--","Y","Y","Y","Y","Y","SL","","","","","",""
"","","","DURG","BPL","10:30","--","--","Y","Y","Y","Y","Y","1A","2A","12853","https://etrain.info/train/Amarkantak-Exp-12853/schedule","AMARKANTAK EXP","3A","3E"
"","","","DMO","BPL","10:45","--","--","Y","Y","Y","Y","Y","CC","2S","22162","https://etrain.info/train/Rajya-Rani-Exp-22162/schedule","RAJYA RANI EXP","",""
"19323","https://etrain.info/train/Intercity-Exp-19323/schedule","INTERCITY EXP","DADN","BPL","10:55","--","--","Y","Y","Y","Y","Y","CC","2S","","","","",""
"19711","https://etrain.info/train/Jp-Bpl-Exp-19711/schedule","JP BPL EXP","JP","BPL","11:20","--","--","Y","Y","Y","Y","Y","1A","2A","","","","3A","3E"
"19340","https://etrain.info/train/Bhopal-Dahod-Ex-19340/schedule","BHOPAL DAHOD EX","BPL","DHD","--","12:35","--","Y","Y","Y","Y","Y","CC","2S","","","","",""
"11606","https://etrain.info/train/Bina-Bpl-Exp-Memu-11606/schedule","BINA BPL EXP MEMU","BINA","BPL","13:40","--","--","Y","Y","Y","Y","Y","","","","","","",""
"11605","https://etrain.info/train/Bpl-Bina-Exp-Memu-11605/schedule","BPL BINA EXP MEMU","BPL","BINA","--","14:20","--","Y","Y","Y","Y","Y","","","","","","",""
"12198","https://etrain.info/train/Bpl-Intercity-12198/schedule","BPL INTERCITY","GWL","BPL","14:35","--","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"12197","https://etrain.info/train/Gwl-Intercity-Ex-12197/schedule","GWL INTERCITY EX","BPL","GWL","--","15:15","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"19339","https://etrain.info/train/Dhd-Bpl-Exp-19339/schedule","DHD BPL EXP","DHD","BPL","15:50","--","--","Y","Y","Y","Y","Y","CC","2S","","","","",""
"","","","BPL","DURG","--","16:00","--","Y","Y","Y","Y","Y","1A","2A","12854","https://etrain.info/train/Amarkantak-Exp-12854/schedule","AMARKANTAK EXP","3A","3E"
"19712","https://etrain.info/train/Bpl-Jaipur-Exp-19712/schedule","BPL JAIPUR EXP","BPL","JP","--","16:35","--","Y","Y","Y","Y","Y","1A","2A","","","","3A","3E"
"14814","https://etrain.info/train/Bpl-Jodhpur-Exp-14814/schedule","BPL JODHPUR EXP","BPL","JU","--","16:55","--","Y","Y","Y","Y","Y","3A","SL","","","","",""
"19324","https://etrain.info/train/Indb-Intercity-19324/schedule","INDB INTERCITY","BPL","DADN","--","17:00","--","Y","Y","Y","Y","Y","CC","2S","","","","",""
"18236","https://etrain.info/train/Bsp-Bpl-Pas-Exp-18236/schedule","BSP BPL PAS EXP","BSP","BPL","17:18","--","--","Y","Y","Y","Y","Y","SL","","","","","",""
"","","","BPL","DMO","--","17:55","--","Y","Y","Y","Y","Y","CC","2S","22161","https://etrain.info/train/Rajya-Rani-Exp-22161/schedule","RAJYA RANI EXP","",""
"11272","https://etrain.info/train/Vindhyachal-Exp-11272/schedule","VINDHYACHAL EXP","BPL","ET","--","18:20","--","Y","Y","Y","Y","Y","SL","","","","","",""
"13025","https://etrain.info/train/Hwh-Bpl-Express-13025/schedule","HWH BPL EXPRESS","HWH","BPL","18:20","--","--","X","X","X","X","X","2A","3A","","","","3E","SL"
