Train_No,Train_Name,From_Station,To_Station,Scheduled_Arrival,Scheduled_Departure
19303,INDB BHOPAL EXP,INDB,BPL,05:10,
19303,INDB BHOPAL EXP,BPL,UJN,,06:25
22163,MAHAMANA EXPRESS,BPL,KURJ,,06:30
22166,SGRL BPL SF EXP,SGRL,BPL,07:05,
22166,SGRL BPL SF EXP,BPL,BINA,,07:30
22146,REWA BPL SF EXP,REWA,BPL,08:10,
12184,MBDP BPL EXPRESS,MBDP,BPL,08:30,
12184,MBDP BPL EXPRESS,LJN,BPL,09:05,
14813,JU BPL EXPRESS,JU,BPL,09:20,
13026,BPL HOWRAH EXP,BPL,HWH,,09:30
18235,BILASPUR EX PAS,BPL,BSP,,10:15
11271,VINDHYACHAL EXP,ET,BPL,10:20,
12853,AMARKANTAK EXP,DURG,BPL,10:30,
22162,RAJYA RANI EXP,DMO,BPL,10:45,
19323,INTERCITY EXP,DADN,BPL,10:55,
19711,JP BPL EXP,JP,BPL,11:20,
19340,BHOPAL DAHOD EX,BPL,DHD,,12:35
11606,BINA BPL EXP MEMU,BINA,BPL,13:40,
11605,BPL BINA EXP MEMU,BPL,BINA,,14:20
12198,BPL INTERCITY,GWL,BPL,14:35,
12197,GWL INTERCITY EX,BPL,GWL,,15:15
19339,DHD BPL EXP,DHD,BPL,15:50,
12854,AMARKANTAK EXP,BPL,DURG,,16:00
19712,BPL JAIPUR EXP,BPL,JP,,16:35
14814,BPL JODHPUR EXP,BPL,JU,,16:55
19324,INDB INTERCITY,BPL,DADN,,17:00
18236,BSP BPL PAS EXP,BSP,BPL,17:18,
22161,RAJYA RANI EXP,BPL,DMO,,17:55
11272,VINDHYACHAL EXP,BPL,ET,,18:20
13025,HWH BPL EXPRESS,HWH,BPL,18:20,
12183,BPL MBDP SF EXP,BPL,MBDP,,19:15
12183,BPL MBDP SF EXP,BINA,BPL,20:50,
22165,BPL SGRL SUP EXP,BPL,SGRL,,20:55
22165,BPL SGRL SUP EXP,UJN,BPL,22:15,
22145,BPL REWA SF EXP,BPL,REWA,,23:05
22164,MAHAMANA EXP,KURJ,BPL,23:05,
19304,BPL INDB EXPRESS,BPL,INDB,,23:10
19304,BPL INDB EXPRESS,BPL,LJN,,23:55
1662,GAYA RKMP SPL,GAYA,RKMP,10:28,10:30
1661,RKMP GAYA SPL,RKMP,GAYA,13:43,13:45
1661,RKMP GAYA SPL,NDLS,RKMP,14:12,14:15
1661,RKMP GAYA SPL,RKMP,NDLS,15:22,15:25
11408,LJN PUNE EXP,LJN,PUNE,17:21,17:25
11078,JHELUM EXPRESS,JAT,PUNE,00:00,00:05
22910,PURI VALSAD EXP,PURI,BL,00:10,00:15
22910,PURI VALSAD EXP,NZM,CSMT,00:35,00:40
12406,GONDWANA EXPRESS,NZM,BSL,01:05,01:10
12410,GONDWANA EXPRES,NZM,RIG,01:05,01:10
19302,YPR DADN EXP,YPR,DADN,01:10,01:15
19301,YESHVANTPUR EXP,DADN,YPR,01:35,01:40
12191,NZM JBP SUP EXP,NZM,JBP,01:55,02:00
12191,NZM JBP SUP EXP,CSMT,NZM,01:55,02:00
12715,SACHKHAND EXP,NED,ASR,02:35,02:40
12617,MANGLADWEEP EXP,ERS,NZM,02:50,02:55
16788,SVDK TEN EXP,SVDK,TEN,03:00,03:05
12598,CSTM GKP JANSADHARAN,CSMT,GKP,03:05,03:10
12616,GRAND TRUNK EXP,NDLS,MAS,03:15,03:20
22534,YPR GORAKPUR EXP,YPR,GKP,03:30,03:35
12647,KONGU EXPRESS,CBE,NZM,03:30,03:35
12103,PUNE LUCKNOW EXP,PUNE,LJN,03:30,03:35
15024,YPR GKP EXP,YPR,GKP,03:30,03:35
15030,PUNE GKP EXPRESS,PUNE,GKP,03:30,03:35
1703,DADN REWA SPL,DADN,REWA,03:35,03:40
18234,NARMADA EXPRESS,BSP,INDB,03:45,03:50
11071,KAMAYANI EXPRESS,LTT,BUI,04:05,04:10
12186,REWANCHAL EXP,REWA,RKMP,04:55,05:00
22192,JBP INDB EXP,JBP,INDB,05:10,05:15
12626,KERALA EXPRESS,NDLS,TVC,05:20,05:25
12156,BHOPAL EXPRESS,NZM,RKMP,05:40,05:45
18237,CHHATTISGARH EXP,KRBA,ASR,06:10,06:15
12628,KARNATAKA EXP,NDLS,SBC,06:25,06:30
12645,NIZAMUDDIN EXP,ERS,NZM,06:45,06:50
12803,SWARNAJAYANTI EX,VSKP,NZM,06:45,06:50
12622,TAMIL NADU EXP,NDLS,MAS,06:45,06:50
22584,JANSADHARAN EXP,LTT,CPR,06:45,06:50
12643,NIZAMUDDIN EXP,TVC,NZM,06:45,06:50
11463,SMNH JBP EXPRES,SMNH,JBP,06:55,07:00
12807,SAMTA EXPRESS,VSKP,NZM,07:05,07:10
12976,JP MYSORE EXP,JP,MYS,07:15,07:20
11072,KAMAYANI EXPRES,BUI,LTT,07:25,07:30
20481,TPJ SF HUMSAFAR,JU,TPJ,08:45,08:50
15029,GKP PUNE EXP,GKP,PUNE,08:45,08:50
11077,JHELUM EXPRESS,PUNE,JAT,08:45,08:50
22673,BGKT MQ EXPRESS,JU,MQ,08:55,09:00
1704,REWA DADN SPL,REWA,DADN,09:00,09:05
16787,TEN SVDK EXP,TEN,SVDK,09:05,09:10
16317,HIMSAGAR EXP,CAPE,SVDK,09:05,09:10
16031,ANDAMAN EXPRESS,MAS,SVDK,09:05,09:10
16031,ANDAMAN EXPRESS,INDB,NGP,09:10,09:15
11058,ASR CSMT EXP,ASR,CSMT,09:20,09:25
12722,DAKSHIN EXPRESS,NZM,HYB,09:40,09:45
12137,PUNJAB MAIL,CSMT,FZR,09:45,09:50
12943,UDYOGKARMI EXP,BL,CNB,10:30,10:35
7023,CHZ NZM SPL,CHZ,NZM,13:45,13:50
7075,HYB GKP SPL,HYB,GKP,13:45,13:50
11407,PUNE LJN EXPRESS,PUNE,LJN,13:55,14:00
7024,CHZ SUMMER SPL,NZM,CHZ,14:25,14:30
22538,KUSHINAGAR SF EXP,LTT,GKP,14:45,14:50
12804,VSKP SWRN J EXP,NZM,VSKP,15:25,15:30
12644,SWARNA JAYANTI,NZM,TVC,15:25,15:30
12646,ERS MILLENUM EX,NZM,ERS,15:25,15:30
12148,NZM KOP EXP,NZM,KOP,15:25,15:30
11057,CSMT ASR EXP,CSMT,ASR,15:25,15:30
12782,SWARNA JAYANTHI,NZM,MYS,15:25,15:30
12618,MNGLA LKSDP,NZM,ERS,16:20,16:25
12138,PUNJAB MAIL,FZR,CSMT,16:35,16:40
20423,PATALKOT SF EXP,SEY,FZR,16:35,16:40
12648,KONGU EXPRESS,NZM,CBE,17:00,17:05
12721,DAKSHIN EXP,HYB,NZM,17:10,17:15
18238,CHHATISGARH EXP,ASR,BSP,17:55,18:00
12615,GRAND TRUNK EXP,MAS,NDLS,18:40,18:45
22129,TULSI EXPRESS,LTT,AYC,19:45,19:50
20846,BKN BSP EXP,BKN,BSP,19:45,19:50
20844,BGKT BSP EXP,BGKT,BSP,19:45,19:50
20844,BGKT BSP EXP,NGP,INDB,20:30,20:35
12521,RAPTI SAGAR EXP,BJU,ERS,20:55,21:00
12511,RAPTI SAGAR EXP,GKP,TVCN,20:55,21:00
12589,GKP SC EXPRESS,GKP,SC,20:55,21:00
22533,GKP YPR EXPRESS,GKP,YPR,20:55,21:00
12591,GKP YPR EXPRESS,GKP,YPR,20:55,21:00
20424,PATALKOT EXP,FZR,SEY,21:50,21:55
12185,REWANCHAL EXP,RKMP,REWA,22:10,22:15
12716,SACHKHAND EXP,ASR,NED,22:40,22:45
12155,BHOPAL EXPRESS,RKMP,NZM,22:53,22:58
7076,GKP HYB SPL,GKP,HYB,23:00,23:05
12627,KARNATAKA EXP,SBC,NDLS,23:00,23:05
12597,GKP CSTM JANSADHARAN,GKP,CSMT,23:00,23:05
12522,RAPTISAGAR EXP,ERS,BJU,23:40,23:45
