Train_No,Train_Name,Priority,From_Station,To_Station,Scheduled_Arrival,Scheduled_Departure
19303,INDB BHOPAL EXP,3,INDB,BPL,05:10,
19303,INDB BHOPAL EXP,3,BPL,UJN,,06:25
22163,MAHAMANA EXPRESS,2,BPL,KURJ,,06:30
22166,SGRL BPL SF EXP,2,SGRL,BPL,07:05,
22166,SGRL BPL SF EXP,2,BPL,BINA,,07:30
22146,REWA BPL SF EXP,2,REWA,BPL,08:10,
12184,MBDP BPL EXPRESS,2,MBDP,BPL,08:30,
12184,MBDP BPL EXPRESS,2,LJN,BPL,09:05,
14813,JU BPL EXPRESS,3,JU,BPL,09:20,
13026,BPL HOWRAH EXP,3,BPL,HWH,,09:30
18235,BILASPUR EX PAS,5,BPL,BSP,,10:15
11271,VINDHYACHAL EXP,3,ET,BPL,10:20,
12853,AMARKANTAK EXP,2,DURG,BPL,10:30,
22162,RAJYA RANI EXP,2,DMO,BPL,10:45,
19323,INTERCITY EXP,3,DADN,BPL,10:55,
19711,JP BPL EXP,3,JP,BPL,11:20,
19340,BHOPAL DAHOD EX,5,BPL,DHD,,12:35
11606,BINA BPL EXP MEMU,3,BINA,BPL,13:40,
11605,BPL BINA EXP MEMU,3,BPL,BINA,,14:20
12198,BPL INTERCITY,2,GWL,BPL,14:35,
12197,GWL INTERCITY EX,2,BPL,GWL,,15:15
19339,DHD BPL EXP,3,DHD,BPL,15:50,
12854,AMARKANTAK EXP,2,BPL,DURG,,16:00
19712,BPL JAIPUR EXP,3,BPL,JP,,16:35
14814,BPL JODHPUR EXP,3,BPL,JU,,16:55
19324,INDB INTERCITY,5,BPL,DADN,,17:00
18236,BSP BPL PAS EXP,3,BSP,BPL,17:18,
22161,RAJYA RANI EXP,2,BPL,DMO,,17:55
11272,VINDHYACHAL EXP,3,BPL,ET,,18:20
13025,HWH BPL EXPRESS,3,HWH,BPL,18:20,
12183,BPL MBDP SF EXP,2,BPL,MBDP,,19:15
12183,BPL MBDP SF EXP,2,BINA,BPL,20:50,
22165,BPL SGRL SUP EXP,2,BPL,SGRL,,20:55
22165,BPL SGRL SUP EXP,2,UJN,BPL,22:15,
22145,BPL REWA SF EXP,2,BPL,REWA,,23:05
22164,MAHAMANA EXP,2,KURJ,BPL,23:05,
19304,BPL INDB EXPRESS,3,BPL,INDB,,23:10
19304,BPL INDB EXPRESS,3,BPL,LJN,,23:55
1662,GAYA RKMP SPL,4,GAYA,RKMP,10:28,10:30
1661,RKMP GAYA SPL,4,RKMP,GAYA,13:43,13:45
1661,RKMP GAYA SPL,4,NDLS,RKMP,14:12,14:15
1661,RKMP GAYA SPL,4,RKMP,NDLS,15:22,15:25
11408,LJN PUNE EXP,3,LJN,PUNE,17:21,17:25
11078,JHELUM EXPRESS,3,JAT,PUNE,00:00,00:05
22910,PURI VALSAD EXP,2,PURI,BL,00:10,00:15
